Key|Name|SortName|Dates|SortWithDates|Role|Epoque||
16thcenturyenglish|16th-Century English|16th-Century English||16th-Century English|Composer||English|English, 16th-Century
16thcenturyfrench|16th-Century French|16th-Century French||16th-Century French|Composer|Renaissance|French|French, 16th-Century
aarhussymphonyorchestra|Aarhus Symphony Orchestra|Aarhus Symphony Orchestra|||Orchestra|||
aaroncopland|Aaron Copland|Copland, Aaron|(1900-1990)|Copland, Aaron (1900-1990)|Composer|20th Century|Copland|Copland, Aaron
aaronjaykernis|Aaron Jay Kernis|Kernis, Aaron Jay|(b1958)|Kernis, Aaron Jay (b1958)|Composer|20th Century|Kernis|Kernis, Aaron Jay
aaronlewis|Aaron Lewis|Lewis, Aaron||Lewis, Aaron|Composer||Lewis|Lewis, Aaron
abbatini|Antonio Maria Abbatini|Abbatini, Antonio Maria|(c1595-1680)|Abbatini, Antonio Maria (c1595-1680)|Composer|Baroque|Abbatini|
abel|Carl Friedrich Abel|Abel, Carl Friedrich|(1723-1787)|Abel, Carl Friedrich (1723-1787)|Composer|Classical|Abel|
abell|John Abell|Abell, John|(1653-after 1724)|Abell, John (1653-after 1724)|Composer|Baroque|Abell|
abos|Girolamo Abos|Abos, Girolamo|(1715-1760)|Abos, Girolamo (1715-1760)|Composer|Classical|Abos|
abrahamcaceres|Abraham Caceres|Caceres, Abraham|(1718-1740)|Caceres, Abraham (1718-1740)|Composer|Baroque|Caceres|Abraham Caceres (1718-1740)
abrahammegerle|Abraham Megerle|Megerle, Abraham|(1607-1680)|Megerle, Abraham (1607-1680)|Composer|Baroque|Megerle|Abraham Megerle (1607-1680)
abrahamvandenkerckhoven|Abraham van den Kerckhoven|Kerckhoven, Abraham van den|(c1618-c1701)|Kerckhoven, Abraham van den (c1618-c1701)|Composer|Baroque|Kerckhoven|Abraham van den Kerckhoven (c1618-c1701)
abrams|Harriett Abrams|Abrams, Harriett|(1758-1821)|Abrams, Harriett (1758-1821)|Composer|Classical|Abrams|
abundioantonelli|Abundio Antonelli|Antonelli, Abundio|(c1575?-c1629)|Antonelli, Abundio (c1575?-c1629)|Composer|Baroque|Antonelli|Abundio Antonelli (c1575?-c1629)
academyofancientmusic|Academy Of Ancient Music|Academy Of Ancient Music|||Orchestra|||
academyofstmartininthefields|Academy of St. Martin-in-the-Fields|Academy of St. Martin-in-the-Fields|||Orchestra|||
adalbertgyrowetz|Adalbert Gyrowetz|Gyrowetz, Adalbert|(1763-1850)|Gyrowetz, Adalbert (1763-1850)|Composer|Classical|Gyrowetz|Adalbert Gyrowetz (1763-1850)
adam|Adolphe Adam|Adam, Adolphe|(1803-1856)|Adam, Adolphe (1803-1856)|Composer|Romantic|Adam|
adamdrese|Adam Drese|Drese, Adam|(c1620-1701)|Drese, Adam (c1620-1701)|Composer|Baroque|Drese|Adam Drese (c1620-1701)
adamduritz|Adam Duritz|Duritz, Adam||Duritz, Adam|Composer||Duritz|Duritz, Adam
adamfalckenhagen|Adam Falckenhagen|Falckenhagen, Adam|(1697-1754)|Falckenhagen, Adam (1697-1754)|Composer|Classical|Falckenhagen|Adam Falckenhagen (1697-1754)
adamgontier|Adam Gontier|Gontier, Adam||Gontier, Adam|Composer||Gontier|Gontier, Adam
adamjarzębski|Adam Jarzębski|Jarzębski, Adam|(c1590-c1648)|Jarzębski, Adam (c1590-c1648)|Composer|Baroque|Jarzębski|Adam Jarzębski (c1590-c1648)
adamklemens|Adam Klemens|Klemens, Adam|||Conductor||Klemens|
adamkrieger|Adam Krieger|Krieger, Adam|(1634-1666)|Krieger, Adam (1634-1666)|Composer|Baroque|Krieger|Adam Krieger (1634-1666)
adamlohrbach|Adam Lohrbach|Lohrbach, Adam||Lohrbach, Adam|Composer||Lohrbach|Lohrbach, Adam
adamvaclavmichnazotradovic|Adam Václav Michna z Otradovic|Otradovic, Adam Václav Michna z|(c1600-1676)|Otradovic, Adam Václav Michna z (c1600-1676)|Composer|Baroque|Otradovic|Adam Václav Michna z Otradovic (c1600-1676)
adamvalentinvolckmar|Adam Valentin Volckmar|Volckmar, Adam Valentin|(1770-1851)|Volckmar, Adam Valentin (1770-1851)|Composer|Romantic|Volckmar|Adam Valentin Volckmar (1770-1851)
adamzwągrowca|Adam z Wągrowca|Wągrowca, Adam z|(died 1629)|Wągrowca, Adam z (died 1629)|Composer|Baroque|Wągrowca|Adam z Wągrowca (died 1629)
addison|John Addison|Addison, John|(c1765-1844)|Addison, John (c1765-1844)|Composer|Classical|Addison|
adelheidmariaeichner|Adelheid Maria Eichner|Eichner, Adelheid Maria|(1762-1787)|Eichner, Adelheid Maria (1762-1787)|Composer|Classical|Eichner|Adelheid Maria Eichner (1762-1787)
adlgasser|Anton Cajetan Adlgasser|Adlgasser, Anton Cajetan|(1729-1777)|Adlgasser, Anton Cajetan (1729-1777)|Composer|Classical|Adlgasser|
adolfvonhenselt|Adolf von Henselt|Henselt, Adolf von|(1814-1889)|Henselt, Adolf von (1814-1889)|Composer|Romantic|Henselt|Adolf von Henselt (1814-1889)
adolphcarlkunzen [de]|Adolph Carl Kunzen [de]|Kunzen [de], Adolph Carl|(1720-1781)|Kunzen [de], Adolph Carl (1720-1781)|Composer|Classical|Kunzen [de]|Adolph Carl Kunzen [de] (1720-1781)
adolpheadam|Adolphe Adam|Adam, Adolphe|(1803-1856)|Adam, Adolphe (1803-1856)|Composer|Romantic|Adam|Adolphe Adam (1803-1856)
adolpheblanc|Adolphe Blanc|Blanc, Adolphe|(1828-1885)|Blanc, Adolphe (1828-1885)|Composer|Romantic|Blanc|Adolphe Blanc (1828-1885)
adriaenssen|Emmanuel Adriaenssen|Adriaenssen, Emmanuel|(1554-1604)|Adriaenssen, Emmanuel (1554-1604)|Composer|Baroque|Adriaenssen|
adrianabasile|Adriana Basile|Basile, Adriana|(c1580-c1640)|Basile, Adriana (c1580-c1640)|Composer|Baroque|Basile|Adriana Basile (c1580-c1640)
adrianboult|Adrian Boult|Boult, Adrian|||Conductor||Boult|
adriangurvitz|Adrian Gurvitz|Gurvitz, Adrian||Gurvitz, Adrian|Composer||Gurvitz|Gurvitz, Adrian
adriannegreenbaum|Adrianne Greenbaum|Greenbaum, Adrianne||Greenbaum, Adrianne|Composer||Greenbaum|Greenbaum, Adrianne
adriano|Adriano|Adriano,|||Conductor||Adriano|
adrianobanchieri|Adriano Banchieri|Banchieri, Adriano|(1568-1634)|Banchieri, Adriano (1568-1634)|Composer|Renaissance|Banchieri|Banchieri, Adriano
adrienbarthe|Adrien Barthe|Barthe, Adrien|(1828-1898)|Barthe, Adrien (1828-1898)|Composer|Romantic|Barthe|Adrien Barthe (1828-1898)
adsluijter|Ad Sluijter|Sluijter, Ad||Sluijter, Ad|Composer||Sluijter|Sluijter, Ad
adson|John Adson|Adson, John|(c1587-1640)|Adson, John (c1587-1640)|Composer|Baroque|Adson|
afterforever|After Forever|Forever, After||Forever, After|Composer||Forever|Forever, After
agatadellapieta|Agata della Pietà|Pietà, Agata della|(flc1740-c1800)|Pietà, Agata della (flc1740-c1800)|Composer|Classical|Pietà|Agata della Pietà (flc1740-c1800)
agazzari|Agostino Agazzari|Agazzari, Agostino|(1578-1640)|Agazzari, Agostino (1578-1640)|Composer|Baroque|Agazzari|
agostini [it]|Pietro Simone Agostini [it]|Agostini [it], Pietro Simone|(c1635-1680)|Agostini [it], Pietro Simone (c1635-1680)|Composer|Baroque|Agostini [it]|
agostinoagazzari|Agostino Agazzari|Agazzari, Agostino|(1578-1640)|Agazzari, Agostino (1578-1640)|Composer|Baroque|Agazzari|Agostino Agazzari (1578-1640)
agostinosteffani|Agostino Steffani|Steffani, Agostino|(1654-1728)|Steffani, Agostino (1654-1728)|Composer|Baroque|Steffani|Steffani, Agostino
agrell|Johan Agrell|Agrell, Johan|(1701-1765)|Agrell, Johan (1701-1765)|Composer|Classical|Agrell|
agricola|Alexander Agricola|Agricola, Alexander|(c1446-1506)|Agricola, Alexander (c1446-1506)|Composer|Renaissance|Agricola|
ahle|Johann Georg Ahle|Ahle, Johann Georg|(1651-1706)|Ahle, Johann Georg (1651-1706)|Composer|Baroque|Ahle|
ahlefeldt|Maria Theresia Ahlefeldt|Ahlefeldt, Maria Theresia|(1755-1810)|Ahlefeldt, Maria Theresia (1755-1810)|Composer|Classical|Ahlefeldt|
ahmetertegun|Ahmet Ertegun|Ertegun, Ahmet||Ertegun, Ahmet|Composer||Ertegun|Ertegun, Ahmet
aho|Kalevi Aho|Aho, Kalevi|(b1949)|Aho, Kalevi (b1949)|Composer|20th Century|Aho|
aich|Bartholomäus Aich|Aich, Bartholomäus|(fl 1648)|Aich, Bartholomäus (fl 1648)|Composer|Baroque|Aich|
aichelburg|Karl Stefan Aichelburg|Aichelburg, Karl Stefan|(1782-1817)|Aichelburg, Karl Stefan (1782-1817)|Composer|Romantic|Aichelburg|
aichinger|Gregor Aichinger|Aichinger, Gregor|(c1565-1628)|Aichinger, Gregor (c1565-1628)|Composer|Baroque|Aichinger|
akademiefuraltemusikberlin|Akademie für Alte Musik, Berlin|Akademie für Alte Musik, Berlin|||Orchestra|||
akademischesorchesterfreiburg|Akademisches Orchester Freiburg|Akademisches Orchester Freiburg|||Orchestra|||
